"","a1","a10","a11","a12","a13","a14","a15","a16","a17","a2","a4","a6","a7","a8","a9","b1","b10","b11","b12","b13","b14","b15","b16","b17","b2","b4","b6","b7","b8","b9","c1","c10","c11","c12","c13","c14","c15","c16","c17","c2","c4","c6","c7","c8","c9"
"ME104524",538000,13600,3730000,827000,2030000,2840,45400,645000,635000,5510000,2620000,9090,1480000,10100000,5160000,2580000,168000,61600,4330000,9540,1340000,449000,679000,362000,2730000,21600000,69600,1340000,1620000,1640000,391000,83000,3910000,1490000,1870000,3040,67300,7e+05,593000,1910000,953000,1430000,3280,6530000,5050000
"ME104525",11900000,1730000,9070000,19300000,5870000,1270,75200,12200000,17400000,14100000,71300000,5380,4.6e+07,67600000,12400000,52700000,1560,6010,93300000,36800,31500000,8970000,1.5e+07,10700000,13100000,1.26e+08,211000,46200000,46800000,6080000,9100000,7250,10600000,34300000,6170000,143000,904000,1.6e+07,12400000,6770000,28700000,8040000,252000,36700000,1.3e+07
"ME104513",19100,239000,126000,361000,82500,90300,82500,39700,47200,68700,127000,70100,41200,8670,27600,43300,641000,493000,22200,18900,76200,207000,322000,24100,77900,38300,27400,246000,22500,32000,9430,443000,201000,146000,161000,77100,293000,148000,84800,25800,29300,57800,28200,92200,92800
"ME104527",56300,118000,1120000,741000,122000,60400,156000,133000,53700,1050000,286000,16500,146000,238000,241000,382000,261000,1730000,1170000,69100,82400,452000,72000,26200,466000,797000,251000,87100,503000,63100,27200,487000,408000,1260000,121000,83600,362000,40100,104000,461000,223000,577000,63300,826000,141000
"ME104528",26700,14600,379000,325000,45200,2800,20200,10900,7600,454000,38300,9530,24400,43600,50400,163000,60100,410000,266000,29800,30700,70100,21800,8490,174000,251000,22200,14500,54800,10300,15700,20000,26600,1e+05,19400,42600,55200,17700,15000,62100,35400,72900,3290,28600,46400
"ME104526",2210000,1940000,6540000,522000,1400000,582000,1380000,6110000,1670000,1580000,2020000,4140000,8450000,419000,189000,506000,272000,455000,721000,1750000,358000,9110000,2980000,1360000,920000,17500000,378000,1670000,1860000,51400,554000,5450000,713000,3850000,652000,1640000,6990000,467000,270000,571000,7790000,1750000,1540000,3e+05,1260000
"ME104529",3280,2840,40900,680000,4790,1770,13000,18800,NA,8140,320000,3920,240000,1420000,NA,8110,2590000,51900,90500,10900,37800,13800,2540,2120,128000,250000,NA,NA,6140,NA,23700,3710,149000,180000,37600,8740,220000,3220,2190,77600,61200,44400,6530,386000,NA
"ME104530",7680000,14300000,28400000,23400000,11900000,8630000,34900000,6510000,9700000,45500000,25400000,16900000,15700000,22600000,9720000,1490000,29400000,4.6e+07,18400000,14300000,1.4e+07,38900000,8810000,7680000,42900000,3.2e+07,21400000,15900000,1960000,12100000,10700000,17100000,20800000,23300000,13500000,20100000,44500000,8420000,13300000,38900000,15100000,46900000,12600000,34300000,20500000
"ME104531",19700,116000,1650000,238000,203000,9810,12800,71500,65800,614000,216000,57800,269000,101000,25900,220000,238000,683000,226000,167000,56700,171000,49300,7100,993000,102000,174000,63400,87200,35300,15100,108000,338000,149000,156000,82600,236000,92100,19600,569000,43600,410000,285000,389000,95000
"ME104532",34400,41500,69400,57900,12000,14300,86400,10700,6620,36700,11600,13500,12800,266000,19100,36400,19600,134000,7840,15100,21500,431000,78000,30200,32300,39800,12200,60500,34400,24600,48400,14900,18200,18800,11900,21700,15500,7440,19500,56800,4910,46600,43900,36800,14400
"ME104533",1390000,2920000,4460000,7160000,4010000,658000,3450000,4400000,2120000,5320000,3020000,3940000,4750000,5280000,4040000,3570000,3780000,8010000,4500000,4490000,2770000,3190000,1600000,2400000,3630000,10100000,4590000,2560000,3570000,2350000,2130000,3900000,6590000,6530000,3430000,3060000,681000,3570000,1910000,4370000,2600000,4690000,3e+06,5600000,4430000
"ME104534",106000,89900,412000,2e+05,173000,52400,555000,243000,137000,218000,421000,142000,131000,144000,197000,112000,402000,326000,96900,64300,234000,232000,53900,106000,417000,612000,169000,169000,672000,205000,84400,379000,143000,729000,35500,508000,644000,225000,218000,147000,351000,3e+05,197000,86500,276000
"ME104535",1310,1150,5550,3000,1660,1620,2160,1600,1240,2170,1940,1670,2070,3630,2100,3230,2550,5050,3670,1370,2170,2800,1540,1240,522000,5480,797,1430,5910,NA,1530,1650,4210,2630,1740,2340,7210,5480,1450,13300,1220,1780,1390,1160,1410
"ME104536",3400,11100,1050000,583000,140000,101000,81900,1360,15000,189000,108000,13300,186000,148000,NA,369000,56600,319000,1530000,166000,1180000,208000,16100,118000,72500,243000,116000,134000,89700,2330,56400,1220000,309000,325000,278000,59800,1300000,2850,14700,69500,127000,95600,113000,84100,2280
"ME104537",1830,10800,18500,313000,1130,4230,103000,2970,3770,98200,20700,2110,16400,15900,1440,89100,10100,210000,318000,4780,9050,72900,NA,5230,10300,46400,12200,4050,22300,1140,2750,14800,52700,420000,1250,85600,46500,743,3390,15600,1390,80200,11200,50800,3400
"ME104538",2720,91700,201000,419000,64900,69000,65400,99600,46500,108000,465000,68400,64400,235000,15500,46000,283000,395000,395000,101000,187000,172000,97100,30000,76700,352000,2e+05,1e+05,130000,26700,17000,147000,462000,495000,75500,154000,206000,29600,71600,14000,137000,246000,60000,105000,55100
"ME104539",888000,813000,3880000,2070000,1050000,210000,1170000,547000,223000,2450000,1310000,581000,2830000,1510000,378000,3090000,2870000,5350000,2400000,963000,1100000,2360000,550000,1100000,1550000,2090000,404000,1550000,4430000,535000,1310000,1160000,2880000,1440000,1540000,2550000,4910000,603000,311000,2120000,304000,1190000,834000,426000,513000
"ME104540",17300000,34600000,34700000,4.3e+07,11700000,16900000,38600000,18700000,13100000,78400000,3.2e+07,18400000,45200000,34900000,9560000,47200000,1.2e+08,63200000,38500000,24100000,14800000,57300000,21800000,12900000,1.67e+08,32500000,25900000,22800000,55500000,9530000,32600000,25300000,19100000,69200000,16200000,20300000,55400000,15900000,12100000,96300000,31600000,26200000,12500000,33400000,15600000
"ME104541",15600000,17500000,65400000,9.8e+07,19800000,5720000,95500000,3280000,48800000,67400000,45100000,17100000,6.3e+07,40500000,7160000,78700000,39400000,1.21e+08,51800000,23500000,40500000,1.19e+08,4360000,1.9e+07,2.05e+08,2.9e+07,25200000,59700000,62200000,17400000,27600000,27500000,47300000,83900000,23700000,27600000,1.51e+08,4780000,16400000,85300000,27500000,39700000,35500000,3.8e+07,14700000
"ME104542",3760000,7270000,10500000,39900000,9670000,4880000,15300000,11100000,2250000,30200000,11400000,5740000,16800000,23300000,2570000,28900000,3.3e+07,18300000,34700000,11200000,13300000,18700000,5470000,3230000,23200000,37600000,11300000,5440000,21600000,4980000,5610000,7790000,14900000,39600000,11400000,10500000,39300000,7880000,2840000,36300000,6320000,2.9e+07,5950000,14100000,4820000
